Loan ID,Borrower Name,City,Annual Income,Education,Profession,Total Loan Approved Amount,Total Amount Drawn,Exposure at Default,Recovery,Costs of Recovery,Probability of Default ,Internal Bank Rating,LGD,EL
L1,Name 1,Bangalore,682271,Ph.D,Government,62775,2513,47081.25,6277.5,62.775,85,BB,-6.00,-2399.86875
L2,Name 2,Bangalore,580590,Post Graduate,Business in Auto Parts,44195,7759,33146.25,4419.5,44.195,33,BBB,7.56,826.52625
L3,Name 3,Bangalore,662776,Graduate,FreeLancer,80029,4399,60021.75,8002.9,80.029,35,BB,-4.50,-946.02375
L4,Name 4,Bangalore,265573,Ph.D,Doctor,51489,7493,38616.75,5148.9,51.489,87,BBB,4.55,1529.52525
L5,Name 5,Bangalore,358398,Post Graduate,Non Profit Organization,34553,5100,25914.75,3455.3,34.553,36,BB,4.76,444.069
L6,Name 6,Bangalore,248430,Graduate,Business in HealthCare,76531,7435,57398.25,7653.1,76.531,26,BBB,-0.28,-42.5295
L7,Name 7,Bangalore,334818,Ph.D,Business in Textile,27781,3530,20835.75,2778.1,27.781,3,BB,2.71,16.91775
L8,Name 8,Bangalore,801856,Post Graduate,Private,94570,9958,70927.5,9457,94.57,25,BBB,0.53,93.9375
L9,Name 9,Bangalore,834277,Graduate,Business in Education,25781,8566,19335.75,2578.1,25.781,30,BB,23.23,1347.2775
L10,Name 10,Bangalore,301280,Ph.D,Government,87961,8361,65970.75,8796.1,87.961,50,BBB,-0.49,-163.1625
L11,Name 11,Bangalore,467629,Post Graduate,FreeLancer,85080,1505,63810,8508,85.08,21,BB,-8.23,-1102.9725
L12,Name 12,Bangalore,533747,Graduate,Doctor,81951,6381,61463.25,8195.1,81.951,16,BBB,-2.21,-217.692
L13,Name 13,Bangalore,368872,Ph.D,Business in HealthCare,41653,6958,31239.75,4165.3,41.653,19,BB,6.70,397.95975
L14,Name 14,Bangalore,501577,Post Graduate,Business in Textile,89624,2621,67218,8962.4,89.624,22,BBB,-7.08,-1046.331
L15,Name 15,Bangalore,851637,Graduate,Private,83758,9606,62818.5,8375.8,83.758,65,BB,1.47,599.7225
L16,Name 16,Bangalore,517257,Ph.D,Government,81470,7145,61102.5,8147,81.47,16,BBB,-1.23,-120.24
